          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,27297,    0,         0,    87840,31.08 
   LUT as Logic            ,23248,    0,         0,    87840,26.47 
   LUT as Memory           , 4049,    0,         0,    57600, 7.03 
     LUT as Distributed RAM, 1720,    0,          ,         ,      
     LUT as Shift Register , 2329,    0,          ,         ,      
 CLB Registers             ,42351,    0,         0,   175680,24.11 
   Register as Flip Flop   ,42351,    0,         0,   175680,24.11 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 1130,    0,         0,    14640, 7.72 
 F7 Muxes                  ,  160,    0,         0,    58560, 0.27 
 F8 Muxes                  ,   32,    0,         0,    29280, 0.11 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 134  ,         Yes,          -,         Set 
 5232 ,         Yes,          -,       Reset 
 940  ,         Yes,        Set,           - 
 36045,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5903,    0,         0,    14640,40.32 
   CLBL                                    , 3084,    0,          ,         ,      
   CLBM                                    , 2819,    0,          ,         ,      
 LUT as Logic                              ,23248,    0,         0,    87840,26.47 
   using O5 output only                    , 1516,     ,          ,         ,      
   using O6 output only                    ,16247,     ,          ,         ,      
   using O5 and O6                         , 5485,     ,          ,         ,      
 LUT as Memory                             , 4049,    0,         0,    57600, 7.03 
   LUT as Distributed RAM                  , 1720,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   16,     ,          ,         ,      
     using O5 and O6                       , 1704,     ,          ,         ,      
   LUT as Shift Register                   , 2329,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1684,     ,          ,         ,      
     using O5 and O6                       ,  645,     ,          ,         ,      
 CLB Registers                             ,42351,    0,         0,   175680,24.11 
   Register driven from within the CLB     ,23791,     ,          ,         ,      
   Register driven from outside the CLB    ,18560,     ,          ,         ,      
     LUT in front of the register is unused,14064,     ,          ,         ,      
     LUT in front of the register is used  , 4496,     ,          ,         ,      
 Unique Control Sets                       , 1495,     ,         0,    29280, 5.11 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  49,    0,         0,      128,38.28 
   RAMB36/FIFO*   ,  12,    0,         0,      128, 9.38 
     RAMB36E2 only,  12,     ,          ,         ,      
   RAMB18         ,  74,    0,         0,      256,28.91 
     RAMB18E2 only,  74,     ,          ,         ,      
 URAM             ,   1,    0,         0,       48, 2.08 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 115,    0,         0,      728,15.80 
   DSP48E2 only, 115,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  78,   78,         0,      252,30.95 
 HPIOB_M         ,  38,   38,         0,       72,52.78 
   INPUT         ,  15,     ,          ,         ,      
   OUTPUT        ,  15,     ,          ,         ,      
   BIDIR         ,   8,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  15,     ,          ,         ,      
   OUTPUT        ,  15,     ,          ,         ,      
   BIDIR         ,  10,     ,          ,         ,      
 HDIOB_M         ,   0,    0,         0,       48, 0.00 
 HDIOB_S         ,   0,    0,         0,       48, 0.00 
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       96, 8.33 
   DIFFINBUF     ,   8,    8,          ,         ,      
 HPIOBDIFFOUTBUF ,   8,    8,         0,       96, 8.33 
   OBUFDS        ,   8,    8,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       48, 0.00 
 BITSLICE_CONTROL,   1,    0,         0,       32, 3.13 
 BITSLICE_RX_TX  ,  24,   24,         0,     1248, 1.92 
   IDELAY        ,   7,    7,          ,         ,      
   OSERDES       ,  10,   10,          ,         ,      
   IDDR          ,   7,    7,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   6,    0,         0,      352, 1.70 
   BUFGCE            ,   3,    0,         0,      112, 2.68 
   BUFGCE_DIV        ,   0,    0,         0,       16, 0.00 
   BUFG_GT           ,   0,    0,         0,       96, 0.00 
   BUFG_PS           ,   3,    0,         0,       96, 3.13 
   BUFGCTRL*         ,   0,    0,         0,       32, 0.00 
 PLL                 ,   0,    0,         0,        8, 0.00 
 MMCM                ,   0,    0,         0,        4, 0.00 
    Site Type   ,Used,Fixed,Prohibited,Available, Util% 
 GTHE4_CHANNEL  ,   0,    0,         0,        4,  0.00 
 GTHE4_COMMON   ,   0,    0,         0,        1,  0.00 
 OBUFDS_GTE4    ,   0,    0,         0,        2,  0.00 
 OBUFDS_GTE4_ADV,   0,    0,         0,        2,  0.00 
